split,specimen,qoi,parameter,method,index_type,value,ci_low,ci_high
60/40,C8,T_0.80,k,sobol,total,0.12959245077736856,0.1101015106846321,0.1522541075635058
60/40,C8,T_0.80,k,morris,mu_star,206.79172815082552,,
60/40,C8,T_0.80,k,morris,sigma,221.9773653963825,,
60/40,C8,T_0.80,alpha,sobol,first,0.8638580656881522,0.8348379915982203,0.8879175049645439
60/40,C8,T_0.80,alpha,sobol,total,0.9285362006897384,0.8046210384704787,1.0427773510271623
60/40,C8,T_0.80,alpha,morris,mu_star,490.2607345343375,,
60/40,C8,T_0.80,alpha,morris,sigma,366.72310955407244,,
60/40,C8,T_0.80,f_inf,sobol,first,-0.044655625839037816,-0.1204848143776596,0.045567066303078566
60/40,C8,T_0.80,f_inf,sobol,total,4.451750640208295e-14,3.460863443699421e-14,5.524730845250408e-14
60/40,C8,T_0.80,f_inf,morris,mu_star,8.648998451299406e-05,,
60/40,C8,T_0.80,f_inf,morris,sigma,0.00010636524142157323,,
70/30,C1,T_0.80,k,sobol,first,0.17134799264231615,0.06461121131403996,0.26941559887031585
70/30,C1,T_0.80,k,sobol,total,0.15459599599621254,0.12706832470747562,0.1899923387662615
70/30,C1,T_0.80,k,morris,mu_star,154.65848811707338,,
70/30,C1,T_0.80,k,morris,sigma,142.72403274139688,,
70/30,C1,T_0.80,alpha,sobol,first,0.8679881111846419,0.8399375380261203,0.8943824921855414
70/30,C1,T_0.80,alpha,sobol,total,0.8539100245066934,0.7626149735644124,0.961211741333867
70/30,C1,T_0.80,alpha,morris,mu_star,405.48802444529866,,
70/30,C1,T_0.80,alpha,morris,sigma,226.86180450418823,,
70/30,C1,T_0.80,f_inf,sobol,first,0.019627531904016227,-0.05929173868321124,0.12312022698210719
70/30,C1,T_0.80,f_inf,sobol,total,6.269565455005809e-14,5.1440091704057256e-14,7.555519187248749e-14
70/30,C1,T_0.80,f_inf,morris,mu_star,9.795644326295871e-05,,
70/30,C1,T_0.80,f_inf,morris,sigma,9.570679141471547e-05,,
70/30,C2,T_0.80,k,sobol,first,0.1487601509038421,0.033326517186745536,0.26578737475448755
70/30,C2,T_0.80,k,sobol,total,0.1247832315167564,0.09831705667409855,0.15102860032361748
70/30,C2,T_0.80,k,morris,mu_star,228.70966653317623,,
70/30,C2,T_0.80,k,morris,sigma,269.86824074775524,,
70/30,C2,T_0.80,alpha,sobol,first,0.8663383960314006,0.8405338320821736,0.8896046543376609
70/30,C2,T_0.80,alpha,sobol,total,0.8471956899041824,0.7400133009633638,0.9753115892108335
70/30,C2,T_0.80,alpha,morris,mu_star,764.4274701014381,,
70/30,C2,T_0.80,alpha,morris,sigma,442.80889954518443,,
70/30,C2,T_0.80,f_inf,sobol,first,0.0618472314617704,-0.042033543521605925,0.15416481145085037
70/30,C2,T_0.80,f_inf,sobol,total,4.541962263368485e-14,3.448726292976063e-14,5.94271979023205e-14
70/30,C2,T_0.80,f_inf,morris,mu_star,0.00012284395850095108,,
70/30,C2,T_0.80,f_inf,morris,sigma,0.000143425402277166,,
70/30,C3,T_0.80,k,sobol,first,0.22188119693641195,0.11108100259756136,0.3228137010528364
70/30,C3,T_0.80,k,sobol,total,0.17154658700363185,0.139774041005729,0.21209271936666196
70/30,C3,T_0.80,k,morris,mu_star,970.3462512413364,,
